Kategori,Isim,Kutle_Mgunes,Yaricap_Rgunes,Hiz_veq_kms,Acisal_Momentum_J,Evrenaki_Kutlesi_Mevr_kg
Konvektif (Gercek Gozlem),Kepler-1410,0.63,0.6,2.1544101501285575,7.888147318169082e+40,1.9869629288855156e+28
Radyatif (Gercek Gozlem),WASP-24,1.43,1.42,7.0,1.3768202610162e+42,8.301200092383256e+28
Konvektif (Gercek Gozlem),KELT-8,0.81,1.46,3.7,4.2383266525782e+41,4.60574056032252e+28
Konvektif (Gercek Gozlem),HD 331093,1.03,1.1112,2.5,2.7715600495674e+41,3.7244693474046416e+28
Konvektif (Gercek Gozlem),K2-110,0.738,0.713,0.1,5.0968366874334e+39,5.050712140906201e+27
Konvektif (Gercek Gozlem),K2-32,0.83,0.86,0.7,4.839822231425999e+40,1.5563847368700842e+28
Konvektif (Gercek Gozlem),DMPP-1,1.21,1.26,3.41,5.035761125855461e+41,5.020359512915009e+28
Radyatif (Gercek Gozlem),HD 67087,1.36,1.55,9.7,1.9806017904036004e+42,9.956365739511527e+28
Konvektif (Gercek Gozlem),TOI-1470,0.471,0.469,2.0,4.2793575275178e+40,1.4634960144610039e+28
Konvektif (Gercek Gozlem),TOI-4342,0.587,0.598,2.059386941115445,7.002160580567904e+40,1.8720536517843475e+28
Konvektif (Gercek Gozlem),HD 68988,1.28,1.19,2.84,4.1901550880716814e+41,4.579492022871746e+28
Konvektif (Gercek Gozlem),AU Mic,0.6,0.82,8.5,4.05078184602e+41,4.502686244178414e+28
Radyatif (Gercek Gozlem),HD 48265,1.38,2.05,3.1,8.494727812388999e+41,6.520441336072441e+28
Konvektif (Gercek Gozlem),K2-3,0.549,0.546,0.6785465857021212,1.970150862843869e+40,9.930062904709361e+27
Konvektif (Gercek Gozlem),HD 96700,0.89,1.16,1.6,1.6000103980224003e+41,2.82985159507741e+28
Konvektif (Gercek Gozlem),WASP-139,0.92,0.8,4.2,2.9942077576320005e+41,3.8711787368930637e+28
Konvektif (Gercek Gozlem),HD 4113,1.008,1.077514,2.324,2.4449748937524366e+41,3.4981583126471742e+28
Radyatif (Gercek Gozlem),HAT-P-14,2.65,1.82,8.18,3.8214254542955404e+42,1.3829769891434457e+29
Konvektif (Gercek Gozlem),GJ 251,0.35,0.36,2.0,2.4409302372e+40,1.1052994188930913e+28
Konvektif (Gercek Gozlem),NGTS-23,1.01,1.24,1.46,1.77113123112744e+41,2.9773344918422443e+28
Konvektif (Gercek Gozlem),HD 13808,0.771,0.781,2.0,1.16651474861922e+41,2.4162806449689057e+28
Konvektif (Gercek Gozlem),HD 108874,1.1,1.05,2.2,2.4612713225100005e+41,3.5097970436818476e+28
Radyatif (Gercek Gozlem),WASP-93,1.334,1.524,37.0,7.286137238219112e+42,1.9096374877038834e+29
Konvektif (Gercek Gozlem),TOI-198,0.417,0.418,0.4360363267491463,7.361898673068371e+39,6.070118590690539e+27
Konvektif (Gercek Gozlem),TOI-561,0.806,0.843,2.0,1.31627744214876e+41,2.5667051225120753e+28
Konvektif (Gercek Gozlem),YZ Cet,0.142,0.157,2.0,4.318896722868e+39,4.6493117462753614e+27
Konvektif (Gercek Gozlem),K2-36,0.79,0.718,2.7,1.4834404812263398e+41,2.724816880666454e+28
Konvektif (Gercek Gozlem),WASP-97,1.18,1.08,1.1,1.3578546205224e+41,2.6069271512230227e+28
Konvektif (Gercek Gozlem),TOI-4201,0.61,0.63,1.65,6.141990709354501e+40,1.753302433723672e+28
Konvektif (Gercek Gozlem),K2-331,1.1,1.06,5.373576712797272,6.0689957048772345e+41,5.5113840256567525e+28
Konvektif (Gercek Gozlem),K2-268,0.84,0.78,1.5867442991517808,1.007014356011119e+41,2.245019352243437e+28
Konvektif (Gercek Gozlem),K2-102,0.77,0.71,3.0,1.588638762711e+41,2.819777466133367e+28
Radyatif (Gercek Gozlem),TOI-615,1.449,1.732,16.3,3.962403549860793e+42,1.408255999415691e+29
Konvektif (Gercek Gozlem),HD 150010,1.3,16.2,2.2,4.487824593252001e+42,1.4987189379870668e+29
Konvektif (Gercek Gozlem),WASP-99,1.21,1.64,6.8,1.30705227564912e+42,8.088141431396353e+28
Radyatif (Gercek Gozlem),HD 56414,1.89,1.751,59.4,1.9040976705977227e+43,3.0870727836188075e+29
Konvektif (Gercek Gozlem),GJ 514,0.51,0.5,0.9034416373604576,2.2314908436331254e+40,1.0568170532786946e+28
Radyatif (Gercek Gozlem),TOI-628,1.311,1.345,6.9,1.1784981178557402e+42,7.680096990440263e+28
Radyatif (Gercek Gozlem),MASCARA-4,1.75,1.79,43.0,1.30471111359225e+43,2.5554032272060048e+29
Konvektif (Gercek Gozlem),BD+60 1417,1.0,0.797,11.0,8.49191880537e+41,6.519363168513698e+28
Konvektif (Gercek Gozlem),HD 82943,1.08,1.1826,1.7,2.1031264146306964e+41,3.2444041411921647e+28
Radyatif (Gercek Gozlem),HD 147873,1.38,2.29,5.9,1.80601522381098e+42,9.507426168153603e+28
Radyatif (Gercek Gozlem),HAT-P-24,1.37,1.38,10.0,1.8312788517660004e+42,9.57369302758797e+28
Konvektif (Gercek Gozlem),KOI-94,1.277,1.52,7.3,1.372499427047112e+42,8.288164152414754e+28
Konvektif (Gercek Gozlem),Qatar-8,1.029,1.315,2.7,3.538830146264595e+41,4.208546375402901e+28
Radyatif (Gercek Gozlem),alf Ari,1.5,13.9,3.1,6.260695471485e+42,1.7701641779675295e+29
Konvektif (Gercek Gozlem),GJ 160.2,0.69,0.655173,0.7602521055267049,3.329028709079057e+40,1.2908061570486107e+28
Radyatif (Gercek Gozlem),TOI-159,1.661,1.62,22.6,5.890442387281453e+42,1.7170234019965276e+29
Konvektif (Gercek Gozlem),TOI-6628,0.97,1.01,3.13,2.97024499051371e+41,3.8556570184097235e+28
Konvektif (Gercek Gozlem),TOI-2093,0.745,0.729,2.0,1.0521281083131002e+41,2.29475629381717e+28
Konvektif (Gercek Gozlem),Kepler-33,1.291,1.82,3.4,7.738047187841878e+41,6.223259990078633e+28
Radyatif (Gercek Gozlem),HD 233604,1.5,10.9,2.0,3.1673975696999996e+42,1.25908064432701e+29
Konvektif (Gercek Gozlem),TOI-1266,0.437,0.4232,1.3,2.328762906163512e+40,1.0796050204041466e+28
Radyatif (Gercek Gozlem),TOI-1836,1.307,1.577,4.0,7.98586747328916e+41,6.322128334122846e+28
Konvektif (Gercek Gozlem),WASP-127,0.95,1.333,0.3,3.6798476260455e+40,1.3571166414871462e+28
Konvektif (Gercek Gozlem),HD 167677,0.96,0.95271,0.7,6.201329723420832e+40,1.7617515802010102e+28
Radyatif (Gercek Gozlem),WASP-121,1.33,1.461,13.5,2.5409168420413053e+42,1.1277101361483918e+29
Konvektif (Gercek Gozlem),HD 93963 A,1.0844,1.0311,5.9,6.389945203345408e+41,5.655237194358119e+28
Konvektif (Gercek Gozlem),KELT-4 A,1.201,1.603,6.0,1.1188776703447981e+42,7.483306982921424e+28
Konvektif (Gercek Gozlem),HD 4203,1.25,1.42,1.23,2.1147464049075003e+41,3.25335462882213e+28
Konvektif (Gercek Gozlem),HD 7924,0.832,0.7821,1.35,8.508915428805793e+40,2.063665774982405e+28
Konvektif (Gercek Gozlem),Kepler-48,0.88,0.89,0.5,3.7931280987600004e+40,1.3778470567852921e+28
Konvektif (Gercek Gozlem),Kepler-550,0.87,0.83,4.1,2.8677152656971e+41,3.7885260006687618e+28
Konvektif (Gercek Gozlem),HD 106315,1.091,1.296,12.71,1.7407248498750804e+42,9.33398981462984e+28
Konvektif (Gercek Gozlem),HD 111232,0.96,0.9,1.2,1.004268440448e+41,2.2419564159034872e+28
Konvektif (Gercek Gozlem),K2-268,0.84,0.78,1.5867442991517808,1.007014356011119e+41,2.245019352243437e+28
Konvektif (Gercek Gozlem),HATS-50,1.168,1.117,3.76,4.751587020272601e+41,4.876650163604232e+28
Konvektif (Gercek Gozlem),Kepler-407,1.0,1.01,2.0,1.9566186822e+41,3.129358767750559e+28
Radyatif (Gercek Gozlem),HD 18015,1.49,3.13,4.0,1.8069470392428e+42,9.509878535075613e+28
Konvektif (Gercek Gozlem),TOI-4600,0.89,0.81,2.5,1.7457009999975e+41,2.9558826502805773e+28
Konvektif (Gercek Gozlem),Kepler-567,0.84,0.79,7.2,4.6280037297312e+41,4.8128143357589105e+28
Radyatif (Gercek Gozlem),HD 103774,1.335,1.581047,8.1,1.656021197365829e+42,9.104061940260707e+28
Konvektif (Gercek Gozlem),GJ 3293,0.42,0.404,0.4985235025278779,8.193531347919328e+39,6.403800856132367e+27
Konvektif (Gercek Gozlem),HD 40307,0.77,0.716684,1.0,5.345314474247747e+40,1.635644389741721e+28
Konvektif (Gercek Gozlem),47 UMa,1.06,1.21334,2.8,3.488198879605004e+41,4.178331347664507e+28
Konvektif (Gercek Gozlem),HD 142022 A,0.9,1.04,1.2,1.0879574771520001e+41,2.3335022216356208e+28
Konvektif (Gercek Gozlem),WASP-135,0.98,0.96,4.67,4.25568050421696e+41,4.6151600430871415e+28
Konvektif (Gercek Gozlem),HATS-15,0.871,0.922,4.18,3.251473242004588e+41,4.034059971030774e+28
Konvektif (Gercek Gozlem),HD 37124,0.85,0.949168,1.2,9.377737812739296e+40,2.166463124273867e+28
Konvektif (Gercek Gozlem),Ross 128,0.168,0.1967,0.08090723840530824,2.589738098339203e+38,1.1384925183697894e+27
Radyatif (Gercek Gozlem),WASP-3,1.62,1.44,13.4,3.02786934795072e+42,1.231036199345681e+29
Radyatif (Gercek Gozlem),KELT-1,1.335,1.471,56.0,1.065213819079956e+43,2.3089825672567723e+29
Konvektif (Gercek Gozlem),HD 158259,1.08,1.21,2.9,3.6708103724292e+41,4.286306602009757e+28
Konvektif (Gercek Gozlem),psi1 Dra B,1.19,1.255735,6.0,8.68462433899597e+41,6.592919556862734e+28
Radyatif (Gercek Gozlem),K2-260,1.637,1.755,16.0,4.4524659752445593e+42,1.4928032184689818e+29
Konvektif (Gercek Gozlem),WASP-144,0.81,0.81,1.9,1.2074758826949e+41,2.458337413031582e+28
Radyatif (Gercek Gozlem),HATS-70,1.78,1.881,40.61,1.317032869375003e+43,2.567441548113217e+29
Radyatif (Gercek Gozlem),K2-99,1.44,2.55,9.3,3.3078091757256e+42,1.2866857223155973e+29
Konvektif (Gercek Gozlem),HD 156668,0.772,0.72,0.5,2.691997347312e+40,1.160752350708658e+28
Konvektif (Gercek Gozlem),TOI-1728,0.646,0.6243,2.0,7.812871385843161e+40,1.9774594911048216e+28
Konvektif (Gercek Gozlem),HD 30856,1.17,4.4,2.85,1.4211444545298002e+42,8.43376256943291e+28
Konvektif (Gercek Gozlem),TOI-6038 A,1.291,1.648,7.94,1.636284357119805e+42,9.049647173783086e+28
Konvektif (Gercek Gozlem),SPECULOOS-3,0.1009,0.123,4.2,5.04894214913634e+39,5.026925573987356e+27
Konvektif (Gercek Gozlem),Kepler-1445,1.13,1.26,3.4,4.6890269856612e+41,4.844440476653402e+28
Konvektif (Gercek Gozlem),WASP-52,0.87,0.79,3.6,2.3966447886108e+41,3.463411491898734e+28
Konvektif (Gercek Gozlem),XO-2 S,0.98,1.02,1.7,1.6460006232852e+41,2.8702336765120334e+28
Konvektif (Gercek Gozlem),LP 791-18,0.139,0.182,2.0,4.900845487356001e+39,4.952651430594826e+27
Konvektif (Gercek Gozlem),TIC 257060897,1.187,1.863,5.45,1.167387134180126e+42,7.643806937220471e+28
Konvektif (Gercek Gozlem),K2-29,0.94,0.86,3.7,2.8972292118588e+41,3.8079714686431143e+28
Konvektif (Gercek Gozlem),OGLE-TR-56,1.228,1.363,3.2,5.187988771475329e+41,5.095675594770902e+28
Radyatif (Gercek Gozlem),14 And,1.78,11.55,2.6,5.1776198548074014e+42,1.6097830067224692e+29
Konvektif (Gercek Gozlem),Kepler-37,0.79,0.789,1.1,6.6412771776351e+40,1.8231737578653656e+28
Konvektif (Gercek Gozlem),HD 69830,0.86,0.886947,1.1,8.127250240217308e+40,2.0168522040351832e+28
Konvektif (Gercek Gozlem),TOI-776,0.542,0.547,2.2,6.31777449411108e+40,1.7782151996740696e+28
Konvektif (Gercek Gozlem),HAT-P-28,1.025,1.103,0.2,2.1902021451765e+40,1.0469943981980553e+28
Konvektif (Gercek Gozlem),TOI-1232,1.058,1.072,4.13,4.5371729186023975e+41,4.765351316133803e+28
Konvektif (Gercek Gozlem),Kepler-4,1.223,1.487,2.2,3.875385704232043e+41,4.404125888982537e+28
Konvektif (Gercek Gozlem),WASP-56,0.71,0.96,1.5,9.90320267664e+40,2.226332835902174e+28
Konvektif (Gercek Gozlem),HD 147513,1.11,0.98,1.5,1.5805023285870004e+41,2.812547255603006e+28
Konvektif (Gercek Gozlem),rho CrB,1.0,1.3617,0.8,1.0551792711096e+41,2.298081272079184e+28
Radyatif (Gercek Gozlem),GPX-1,1.68,1.56,40.0,1.0154269786752e+43,2.2543773221194555e+29
Konvektif (Gercek Gozlem),EPIC 249893012,1.05,1.71,2.1,3.6522418674105e+41,4.275451885576351e+28
Konvektif (Gercek Gozlem),HD 23596,1.1,1.53,4.2,6.846809315346001e+41,5.853914493022735e+28
Konvektif (Gercek Gozlem),TOI-6041,0.885,0.879,3.4,2.5619219184932104e+41,3.5808423624184496e+28
Konvektif (Gercek Gozlem),HD 25015,0.86,0.83,3.485,2.40954006807423e+41,3.4727165303939825e+28
Konvektif (Gercek Gozlem),HD 11506,1.22,1.24,5.5,8.059331724444e+41,6.351141284669854e+28
Konvektif (Gercek Gozlem),TOI-5542,0.89,1.058,3.03,2.7635869252997466e+41,3.719108279264214e+28
Konvektif (Gercek Gozlem),HD 208897,1.25,4.98,3.9,2.3515747553025004e+42,1.0848798744530397e+29
Konvektif (Gercek Gozlem),Kepler-1386,1.02,1.03,6.6,6.7163938998156e+41,5.797894883848978e+28
Konvektif (Gercek Gozlem),Kepler-528,1.01,1.06,4.5,4.6665355570470005e+41,4.832808067682189e+28
Konvektif (Gercek Gozlem),TOI-5573,0.619,0.594,2.0,7.122983136469201e+40,1.8881357538215994e+28
Konvektif (Gercek Gozlem),HATS-26,1.299,2.04,7.48,1.919975747438549e+42,9.802799715090666e+28
Konvektif (Gercek Gozlem),Kepler-102,0.803,0.724,0.5,2.8156517735346005e+40,1.1871120932284318e+28
Konvektif (Gercek Gozlem),K2-259,1.14,1.13,5.23,6.52589091827946e+41,5.7150780141749075e+28
Konvektif (Gercek Gozlem),HD 202206,1.07,1.04,2.3,2.4791327326584005e+41,3.5225092952364268e+28
Konvektif (Gercek Gozlem),HD 13931,1.3,1.25,2.0,3.1480251075000006e+41,3.969367886568203e+28
Konvektif (Gercek Gozlem),NGTS-3 A,1.017,0.93,1.0,9.161334236691e+40,2.141320240112678e+28
Radyatif (Gercek Gozlem),HD 171028,1.53,2.47,2.14,7.833520493302142e+41,6.261534099227321e+28
Radyatif (Gercek Gozlem),HD 89744,1.86,2.13257,9.5,3.6500151869190017e+42,1.3516043903033862e+29
Konvektif (Gercek Gozlem),HD 96992,0.96,7.43,1.9,1.31270903461152e+42,8.105624768237145e+28
Radyatif (Gercek Gozlem),bet Pic,1.789,1.54416,116.41,3.114926149260761e+43,3.948445386132506e+29
Konvektif (Gercek Gozlem),K2-231,1.01,0.95,2.0,1.85878774809e+41,3.05012163403895e+28
Radyatif (Gercek Gozlem),HD 33142,1.52,4.17,2.0,1.2279041440848e+42,7.839430072913981e+28
Konvektif (Gercek Gozlem),WASP-1,1.24,1.47,5.77,1.018754780231916e+42,7.140639168823414e+28
Konvektif (Gercek Gozlem),KOI-351,1.2,1.2,4.6,6.4161594806399995e+41,5.666825417596126e+28
Konvektif (Gercek Gozlem),K2-138,0.935,0.863,2.7,2.1102844425512856e+41,3.249920644716326e+28
Konvektif (Gercek Gozlem),HD 34445,1.07,1.38,2.7,3.8617259874102e+41,4.396357343863889e+28
Konvektif (Gercek Gozlem),WASP-41,0.81,0.83,2.64,1.71918203649192e+41,2.9333453082030346e+28
Konvektif (Gercek Gozlem),TOI-1136,1.022,0.968,6.7,6.420308287144752e+41,5.668657258190391e+28
Konvektif (Gercek Gozlem),K2-415,0.1635,0.1965,2.3130460161736797,7.198125444453706e+39,6.002220745369556e+27
Konvektif (Gercek Gozlem),TOI-1803,0.756,0.715,1.0,5.235795358794e+40,1.6188014694812315e+28
Konvektif (Gercek Gozlem),HD 203030,0.94,0.856458,5.62,4.382531698986651e+41,4.6834381695525e+28
Konvektif (Gercek Gozlem),HD 164922,0.926,0.946,2.0,1.6970199397351203e+41,2.9143769989429246e+28
Konvektif (Gercek Gozlem),HATS-28,0.929,0.922,2.6,2.157122503622268e+41,3.285788935254116e+28
Konvektif (Gercek Gozlem),WASP-192,1.09,1.32,3.1,4.320330285070801e+41,4.650083300334958e+28
Konvektif (Gercek Gozlem),HD 108236,0.869,0.877,4.7,3.469541241887721e+41,4.1671418599226165e+28
Konvektif (Gercek Gozlem),HD 98649,0.97,1.01,2.218,2.104793415003006e+41,3.245689691974823e+28
Konvektif (Gercek Gozlem),HR 858,1.204,1.258,7.5,1.10033066875914e+42,7.42102452785328e+28
Radyatif (Gercek Gozlem),HD 59686 A,1.9,13.2,1.03,2.5021859626763998e+42,1.119082359196527e+29
Konvektif (Gercek Gozlem),TOI-1135,1.119,1.202,10.9,1.4200900307847162e+42,8.430633257137458e+28
Konvektif (Gercek Gozlem),K2-16,0.68,0.66,2.0,8.694361035360002e+40,2.0860326099391953e+28
Konvektif (Gercek Gozlem),DS Tuc A,1.01,0.964,17.8,1.6787005645803118e+42,9.16619044512451e+28
Konvektif (Gercek Gozlem),HATS-74 A,0.601,0.5758,6.138823309287793,2.0577191177534677e+41,3.209189069414669e+28
Konvektif (Gercek Gozlem),HATS-23,1.121,1.199,4.62,6.014805632523488e+41,5.486723274861996e+28
Radyatif (Gercek Gozlem),HD 28678,1.53,6.48,2.97,2.852185137649848e+42,1.1947887214540644e+29
Konvektif (Gercek Gozlem),HD 189733,0.79,0.75,3.5,2.0086821743625e+41,3.1707198451059416e+28
Konvektif (Gercek Gozlem),HD 20781,0.7,0.833609,1.1,6.217387654200724e+40,1.7640310747640175e+28
Radyatif (Gercek Gozlem),HD 114082,1.47,1.49,39.2,8.31657477550536e+42,2.040208282894242e+29
Konvektif (Gercek Gozlem),TOI-1238,0.59,0.58,2.0,6.62925656484e+40,1.8215230519125056e+28
Radyatif (Gercek Gozlem),HD 121504,1.62,1.07,2.6,4.3654293770724e+41,4.674290949571202e+28
Konvektif (Gercek Gozlem),Kepler-38,0.941,1.752,2.4,3.832567332205248e+41,4.379728151347518e+28
Konvektif (Gercek Gozlem),WASP-133,1.16,1.44,0.3,4.853964128832e+40,1.558656946185366e+28
Konvektif (Gercek Gozlem),HAT-P-1,1.151,1.174,2.2,2.879525493552708e+41,3.796319205134206e+28
Konvektif (Gercek Gozlem),HD 63454,0.42,0.77,1.9,5.951801561706e+40,1.7259431220389371e+28
Konvektif (Gercek Gozlem),HD 6718,0.96,1.02,1.76,1.6693173187891198e+41,2.8904915733281562e+28
Konvektif (Gercek Gozlem),Kepler-167,0.777,0.749,2.0,1.12742499439206e+41,2.375451060262029e+28
Radyatif (Gercek Gozlem),BD+20 594,1.67,1.08,3.3,5.7651285159467995e+41,5.371638211645569e+28
Konvektif (Gercek Gozlem),TYC 0434-04538-1,1.04,9.99,3.0,3.0190819990968e+42,1.2292485719332765e+29
Konvektif (Gercek Gozlem),HD 73534,1.16,2.58,1.0,2.898895243608e+41,3.8090661852012026e+28
Radyatif (Gercek Gozlem),24 Sex,1.54,4.9,2.77,2.0246567066926206e+42,1.006648744618177e+29
Konvektif (Gercek Gozlem),TIC 87422071,1.239,1.489,7.1,1.2687591267538557e+42,7.968780194953823e+28
Konvektif (Gercek Gozlem),GJ 3988,0.1842,0.19734,2.0,7.041895433989416e+39,5.936726529985942e+27
Konvektif (Gercek Gozlem),HD 9446,1.0,1.0,4.0,3.87449244e+41,4.40361829113901e+28
Konvektif (Gercek Gozlem),HD 35843,0.94,0.897,2.09,1.706952394829682e+41,2.9228933061998408e+28
Konvektif (Gercek Gozlem),K2-284,0.63,0.607,3.54,1.311255518772654e+41,2.561804136599355e+28
Konvektif (Gercek Gozlem),LP 714-47,0.59,0.584,2.0,6.674975575632001e+40,1.8277933735607076e+28
Konvektif (Gercek Gozlem),HD 152581,1.3,5.14,0.5,3.2361698105100006e+41,4.024555391425077e+28
Konvektif (Gercek Gozlem),Kepler-74,1.18,1.12,5.0,6.4006615108800014e+41,5.6599772877015425e+28
Konvektif (Gercek Gozlem),Kepler-87,1.1,1.82,4.3,8.338488904746001e+41,6.460199586888352e+28
Konvektif (Gercek Gozlem),WASP-23,0.78,0.765,2.2,1.2715503014214e+41,2.5227198859028582e+28
Konvektif (Gercek Gozlem),NGTS-1,0.617,0.573,1.0,3.4244798293250997e+40,1.3091806095917708e+28
Konvektif (Gercek Gozlem),TOI-1199,1.23,1.45,3.4,5.873633676729e+41,5.421952226790143e+28
Konvektif (Gercek Gozlem),Kepler-75,0.91,0.89,3.5,2.7457074987615e+41,3.707058102266686e+28
Konvektif (Gercek Gozlem),HD 39091,1.07,1.17,3.34,4.050148366506061e+41,4.502334155232781e+28
Konvektif (Gercek Gozlem),HAT-P-3,1.06,0.87,0.46,4.109015467393201e+40,1.4340726264714054e+28
Konvektif (Gercek Gozlem),HD 30562,1.12,1.61,4.9,8.558443840564802e+41,6.544849444951434e+28
Radyatif (Gercek Gozlem),BD-10 3166,1.47,0.91,0.92,1.1920689635072401e+41,2.4426033506619255e+28
Konvektif (Gercek Gozlem),HAT-P-11,0.811,0.683,0.67,3.594770649287182e+40,1.341336836574894e+28
Konvektif (Gercek Gozlem),HATS-55,1.1955,1.126,5.01,6.5325166199974854e+41,5.717978522027324e+28
Konvektif (Gercek Gozlem),Kepler-444,0.758,0.752,2.0,1.10426134133952e+41,2.350921849028129e+28
Radyatif (Gercek Gozlem),bet Pic,1.789,1.54416,116.41,3.114926149260761e+43,3.948445386132506e+29
Konvektif (Gercek Gozlem),HD 183263,1.06,1.23,1.6,2.0206252973088003e+41,3.1801320296915772e+28
Radyatif (Gercek Gozlem),91 Aqr,1.4,11.0,3.9,5.817550398659999e+42,1.7063665743960808e+29
Konvektif (Gercek Gozlem),Kepler-1628,0.55,0.52,4.3,1.1912127006780001e+41,2.4417259323926835e+28
Konvektif (Gercek Gozlem),HD 181720,1.03,1.5,1.5,2.244784057425e+41,3.3518883398119885e+28
Konvektif (Gercek Gozlem),Kepler-322,0.908,0.89,6.3,4.9314113582151606e+41,4.968071912684578e+28
Konvektif (Gercek Gozlem),HD 109246,1.2,1.07,3.0,3.73113621972e+41,4.321383511568263e+28
Konvektif (Gercek Gozlem),TOI-4515,0.949,0.86,3.4,2.6878090209843603e+41,3.667764660188045e+28
Konvektif (Gercek Gozlem),Ross 176,0.577,0.569,2.0,6.360231182268599e+40,1.7841801730835157e+28
Konvektif (Gercek Gozlem),CoRoT-31,1.25,2.15,2.8,7.288888902750001e+41,6.039944158615144e+28
Konvektif (Gercek Gozlem),K2-73,1.02,1.058,2.0,2.0905986307752002e+41,3.2347266670441393e+28
Konvektif (Gercek Gozlem),HAT-P-18,0.77,0.749,0.5,2.7931700311515e+40,1.1823633107358854e+28
Konvektif (Gercek Gozlem),K2-350,0.98,1.04,6.401026880763146,6.3192260696756145e+41,5.623856159832376e+28
Konvektif (Gercek Gozlem),Kepler-129,1.178,1.653,2.13,4.017469366842585e+41,4.484133616263171e+28
Konvektif (Gercek Gozlem),HD 80653,1.18,1.22,3.1571934866734765,4.4024847742345316e+41,4.694087592866387e+28
Konvektif (Gercek Gozlem),GJ 3293,0.42,0.404,0.4985235025278779,8.193531347919328e+39,6.403800856132367e+27
Konvektif (Gercek Gozlem),K2-285,0.83,0.787,3.9,2.4675857765640896e+41,3.5142963964330654e+28
Konvektif (Gercek Gozlem),HD 35843,0.94,0.897,2.09,1.706952394829682e+41,2.9228933061998408e+28
Radyatif (Gercek Gozlem),HATS-68,1.351,1.748,7.42,1.6972878763853155e+42,9.216796795114244e+28
Radyatif (Gercek Gozlem),nu Oph,2.61,12.24,3.21,9.933030844138585e+42,2.2296831409369067e+29
Konvektif (Gercek Gozlem),HD 134987,1.1,1.25,2.17,2.8901292044625005e+41,3.8033026612992486e+28
Konvektif (Gercek Gozlem),WASP-88,0.94,1.8,8.4,1.3766846537808e+42,8.300791277032863e+28
Konvektif (Gercek Gozlem),GJ 15 A,0.38,0.38,1.09,1.5245740302155998e+40,8.73527369446987e+27
Konvektif (Gercek Gozlem),TOI-157,0.948,1.167,2.5,2.6790081114068995e+41,3.6617549079697477e+28
Konvektif (Gercek Gozlem),Kepler-100,1.13,1.51,3.7,6.1152179665940995e+41,5.532331925101747e+28
Radyatif (Gercek Gozlem),tau Gem,2.3,26.8,1.0,5.970592850039999e+42,1.7286655864364653e+29
Konvektif (Gercek Gozlem),CoRoT-19,1.21,1.65,6.0,1.1603136234690002e+42,7.6206138157223515e+28
Konvektif (Gercek Gozlem),HD 110537,1.02,1.16626,1.8,2.0740674888611498e+41,3.2219121903720803e+28
Konvektif (Gercek Gozlem),WASP-69,0.83,0.801,1.54,9.91713341420802e+40,2.2278981658373323e+28
Konvektif (Gercek Gozlem),WASP-173 A,1.05,1.11,6.1,6.886474431700502e+41,5.8708465315915055e+28
Konvektif (Gercek Gozlem),TOI-4010,0.88,0.83,1.3,9.197270154072e+40,2.145515862293111e+28
Konvektif (Gercek Gozlem),WASP-71,0.76,1.82,7.8,1.04504359888656e+42,7.232183932171302e+28
Konvektif (Gercek Gozlem),Kepler-1785,0.911,0.996,3.8,3.3397667642692085e+41,4.0884654053467e+28
Konvektif (Gercek Gozlem),GJ 9773,0.358,0.362,2.0,2.5105936112712e+40,1.1209609087718424e+28
Konvektif (Gercek Gozlem),Kepler-549,0.88,0.84,5.0,3.580031014560001e+41,4.232974503342295e+28
Konvektif (Gercek Gozlem),HD 24040,1.10394,1.387296,2.39,3.5454170696538975e+41,4.2124612969673605e+28
Konvektif (Gercek Gozlem),TOI-1416,0.798,0.793,2.0,1.22591652946308e+41,2.477038224509481e+28
Konvektif (Gercek Gozlem),LSPM J2116+0234,0.43,0.431,2.0,3.590298419526e+40,1.3405022028773093e+28
Konvektif (Gercek Gozlem),BD+20 274,0.8,17.3,2.0,2.6811487684800002e+42,1.158411110331967e+29
Konvektif (Gercek Gozlem),Kepler-538,0.892,0.8717,1.1,8.284750082052444e+40,2.036300950888353e+28
Konvektif (Gercek Gozlem),HD 189567,0.83,1.04,1.2,1.0033385622624e+41,2.240918232742515e+28
Konvektif (Gercek Gozlem),GJ 676 A,0.626,0.69,1.6,6.6941930581344e+40,1.8304226222496387e+28
Konvektif (Gercek Gozlem),HD 215152,0.77,0.73,3.35,1.82395121793885e+41,3.0214044705515543e+28
Konvektif (Gercek Gozlem),WASP-175,1.212,1.204,4.0,5.6538453440851204e+41,5.3195417325809435e+28
Radyatif (Gercek Gozlem),HD 1605,1.33,3.49,0.54,2.4278712604309804e+41,3.4859012909095496e+28
Konvektif (Gercek Gozlem),HIP 14810,1.01,1.07,0.54,5.6526713728758e+40,1.6820121436212013e+28
Konvektif (Gercek Gozlem),LHS 1678,0.345,0.329,0.53,5.82700900332915e+39,5.400389729072488e+27
Konvektif (Gercek Gozlem),Kepler-42,0.13,0.17,3.3,7.064168341230001e+39,5.946107794520215e+27
Konvektif (Gercek Gozlem),HD 141937,1.09,1.03,2.1,2.2836936477537005e+41,3.3808132360284865e+28
Radyatif (Gercek Gozlem),TOI-1518,1.88,1.942,85.1,3.0094799994624457e+43,3.8810388377046676e+29
Konvektif (Gercek Gozlem),TOI-2458,1.05,1.31,2.5,3.3308527195125008e+41,4.083005575809883e+28
